"","Year","Census","Group","n","Language","Value","Ratio"
"1",1991,"1991_1_14","Hong Kong Born",210084,"Cantonese",205720,0.979227356676377
"2",1991,"1991_1_14","Old Migrants",120653,"Cantonese",101632,0.842349547876969
"3",1991,"1991_1_14","New Migrants",13024,"Cantonese",6996,0.537162162162162
"4",1996,"1996_1_14","Hong Kong Born",245444,"Cantonese",240853,0.981295122308958
"5",1996,"1996_1_14","Old Migrants",127632,"Cantonese",108770,0.852215745267644
"6",1996,"1996_1_14","New Migrants",15438,"Cantonese",9090,0.588806840264283
"7",2001,"2001_1_14","Hong Kong Born",263053,"Cantonese",258615,0.983128875169643
"8",2001,"2001_1_14","Old Migrants",132305,"Cantonese",113500,0.857866293790862
"9",2001,"2001_1_14","New Migrants",22809,"Cantonese",16067,0.704414923933535
"10",2006,"2006_1_14","Hong Kong Born",280196,"Cantonese",273571,0.976355836628646
"11",2006,"2006_1_14","Old Migrants",138741,"Cantonese",122255,0.881174274367346
"12",2006,"2006_1_14","New Migrants",18703,"Cantonese",14978,0.800834090787574
"13",2011,"2011_5","Hong Kong Born",207196,"Cantonese",202503,0.977349948840711
"14",2011,"2011_5","Old Migrants",101109,"Cantonese",88355,0.873858904746363
"15",2011,"2011_5","New Migrants",11864,"Cantonese",8604,0.72521915037087
"16",2016,"2016_5","Hong Kong Born",208539,"Cantonese",203777,0.977164942768499
"17",2016,"2016_5","Old Migrants",97239,"Cantonese",86919,0.893869743621386
"18",2016,"2016_5","New Migrants",11880,"Cantonese",7193,0.60547138047138
"19",1991,"1991_1_14","Hong Kong Born",210084,"Putonghua",210,0.000999600159936026
"20",1991,"1991_1_14","Old Migrants",120653,"Putonghua",1770,0.0146701698258643
"21",1991,"1991_1_14","New Migrants",13024,"Putonghua",1335,0.102503071253071
"22",1996,"1996_1_14","Hong Kong Born",245444,"Putonghua",355,0.00144635843614022
"23",1996,"1996_1_14","Old Migrants",127632,"Putonghua",2174,0.0170333458693745
"24",1996,"1996_1_14","New Migrants",15438,"Putonghua",1696,0.109858789998704
"25",2001,"2001_1_14","Hong Kong Born",263053,"Putonghua",264,0.00100360003497394
"26",2001,"2001_1_14","Old Migrants",132305,"Putonghua",1956,0.0147840217678848
"27",2001,"2001_1_14","New Migrants",22809,"Putonghua",1014,0.0444561357358937
"28",2006,"2006_1_14","Hong Kong Born",280196,"Putonghua",729,0.00260175020342903
"29",2006,"2006_1_14","Old Migrants",138741,"Putonghua",1834,0.0132188754585883
"30",2006,"2006_1_14","New Migrants",18703,"Putonghua",798,0.0426669518259103
"31",2011,"2011_5","Hong Kong Born",207196,"Putonghua",672,0.00324330585532539
"32",2011,"2011_5","Old Migrants",101109,"Putonghua",1815,0.0179509242500668
"33",2011,"2011_5","New Migrants",11864,"Putonghua",1404,0.118341200269724
"34",2016,"2016_5","Hong Kong Born",208539,"Putonghua",755,0.00362042591553618
"35",2016,"2016_5","Old Migrants",97239,"Putonghua",2241,0.0230463085798908
"36",2016,"2016_5","New Migrants",11880,"Putonghua",2606,0.219360269360269
"37",1991,"1991_1_14","Hong Kong Born",210084,"Others",4154,0.0197730431636869
"38",1991,"1991_1_14","Old Migrants",120653,"Others",17251,0.142980282297166
"39",1991,"1991_1_14","New Migrants",13024,"Others",4693,0.360334766584767
"40",1996,"1996_1_14","Hong Kong Born",245444,"Others",4236,0.0172585192549013
"41",1996,"1996_1_14","Old Migrants",127632,"Others",16688,0.130750908862981
"42",1996,"1996_1_14","New Migrants",15438,"Others",4652,0.301334369737013
"43",2001,"2001_1_14","Hong Kong Born",263053,"Others",4174,0.0158675247953834
"44",2001,"2001_1_14","Old Migrants",132305,"Others",16849,0.127349684441253
"45",2001,"2001_1_14","New Migrants",22809,"Others",5728,0.251128940330571
"46",2006,"2006_1_14","Hong Kong Born",280196,"Others",5896,0.0210424131679253
"47",2006,"2006_1_14","Old Migrants",138741,"Others",14652,0.105606850174065
"48",2006,"2006_1_14","New Migrants",18703,"Others",2927,0.156498957386516
"49",2011,"2011_5","Hong Kong Born",207196,"Others",4021,0.0194067453039634
"50",2011,"2011_5","Old Migrants",101109,"Others",10939,0.10819017100357
"51",2011,"2011_5","New Migrants",11864,"Others",1856,0.156439649359407
"52",2016,"2016_5","Hong Kong Born",208539,"Others",4007,0.0192146313159649
"53",2016,"2016_5","Old Migrants",97239,"Others",8079,0.0830839477987227
"54",2016,"2016_5","New Migrants",11880,"Others",2081,0.17516835016835
